,name,longitude,latitude
151,Marriott Johnstown House Enfield Hotel,-6.8325,53.4183
152,Eenhana,16.352634,-17.627852
153,Potters Hotel Brewery Resort,151.349942,-32.806627
154,Sidi Harazem Hotel,-4.88418,34.02631
155,Alcácer do Sal,-8.503584,38.387969
156,Wellington Hotel,0.101675,50.770421
157,Jamundí,-76.53499,3.26074
158,St. Ives,-5.479639,50.210923
159,White City Beach Hotel,31.916919,36.567184
160,Northwood hotel,119.983751,16.151522
161,Gwangmyeongni,126.68819,37.93073
162,Parma Hotel,9.162726,45.48471
163,Lizzanello,18.220552,40.304973
164,Taminango,-77.28666,1.57491
165,Cirié,7.603331,45.231903
166,Plaza Blumenau Hotel,-49.064781,-26.921869
167,Capilla del Monte,-65.007395,-31.744951
168,Belluno Apart Hotel,-48.432636,-27.421679
169,Hotel Tete,-83.029363,9.992745
170,San Antonino Monteverde,-97.7863,17.66268
171,Muro Lucano,15.485078,40.751327
172,Rothwell Hotel & Restaurant,-0.801764,52.423073
173,Best Western New Smyrna Beach Hotel & Suites,-80.89087,29.02837
174,Bergenfield,-73.998151,40.924011
175,Trecate,8.737291,45.433207
176,Sahuarita,-110.974521,31.927065
177,Brejo Grande,-36.465195,-10.481577
178,Crigglestone,-1.544029,53.639342
179,Zhovkva,23.978598,50.057663
180,Audun-le-Tiche,5.955434,49.470765
181,Ora Hotels City Milano Bresso,9.19755,45.53569
182,Hotel Vaslui,27.730592,46.639906
183,Hotel Pedra Bonita,-42.854085,-22.745762
184,Feldkirchen in Karinthie,14.096084,46.722698
185,Bardejov,21.272001,49.292691
186,Pestana Buenos Aires Hotel,-58.38102,-34.598248
187,Hotel der Platengarten,10.57729,49.30186
188,Chillicothe,-93.55244,39.79529
189,Handewitt,9.324748,54.769889
190,Hotel Santo Tomás,4.038067,39.915603
191,Homécourt,5.989623,49.220023
192,Daxincun,105.42443,31.49397
193,Okres Louny,13.66667,50.33333
194,Hotel Garni Krumbach,9.888539,47.286234
195,Rumilly,5.947418,45.861072
196,Spaichingen,8.733487,48.075434
197,Sao Benedito,-40.94585,-4.04957
198,Coribe,-44.461367,-13.827181
199,Ramat HaSharon,34.837042,32.141583
200,Geislingen,8.810633,48.28711
201,Bol’sheust’ikinskoye,58.268,55.9506
202,Stavanger Lille Hotel,5.727015,58.963885
203,Tulipin Estarreja Hotel & Spa,-8.561648,40.757708
204,Hotel,-71.608652,42.119943
205,Ellington Hotel Berlin,13.338338,52.501958
206,Travelodge Hotel - St. Austell,-4.792332,50.333703
207,Gulfport Beachfront Hotel,-89.0801,30.3697
208,Taufkirchen,12.132042,48.345731
209,Rtishchevo,43.799938,52.25612
210,Homestead Meadows,-122.570291,38.480519
211,Kings Langley,150.93542,-33.75005
212,Hardeeville,-81.01556,32.345369
213,Almoloya del Río Municipality,-99.486578,19.162432
214,Muncy,-76.786306,41.203127
215,Tumauini,121.88333,17.26667
216,Mainleus,11.379974,50.100351
217,Rivertain Hotel Daegu,128.598052,35.872121
218,Scheßlitz,11.029575,49.974567
219,Rilano 24|7 Hotel Wolfenbüttel,10.533326,52.158142
220,Gus'-Khrustal'nyy,40.65186,55.61113
221,Hazebrouck,2.536947,50.725953
222,Changchongma,112.99085,28.67197
223,B&B Hotel Duisburg,6.772586,51.42842
224,Jisr al-Shughur,36.32062,35.81426
225,Samborondón,-79.72402,-1.96276
226,Oberschleißheim,11.560369,48.244423
227,Diavata,22.85694,40.68889
228,Millstone Hotel,-2.530777,53.7735
229,Shihezi,86.03333,44.3
230,Gardner Hotel,-106.487975,31.761557
231,Coatzacoalcos,-94.455826,18.129229
232,Letohrad,16.513878,50.029073
233,Lincroft,-74.130332,40.338555
234,Gyangze,89.63333,28.95
235,Jiaohe,127.348023,43.814711
236,Schenectady,-73.923793,42.810078
237,Jeremoabo,-38.351995,-10.070902
238,Gambolò,8.857068,45.260357
239,Haeju,125.714383,38.039421
240,Edmonton Hotel and Convention Centre,-113.41,53.51
241,The Victoria Hotel,-9.047986,53.27299
242,Limours,2.072017,48.643986
243,Lauderhill,-80.211087,26.147543
244,Hotel Macedon,24.703398,40.776403
245,Mit Ghamr,31.321028,30.721424
246,The Lerwick Hotel,-1.15224,60.1513
247,Waikele Ahupua`a,-157.999325,21.409652
248,Beloretskiy Rayon,58.0,54.0
249,Qarqaraly,75.47286,49.41287
250,Hotel der Platengarten,10.57729,49.30186
251,Al Jaghbūb,24.51676,29.74262
252,Holiday Inn Guelph Hotel & Con,-80.2401,43.516
253,Lucknow Hotel ANR,80.921329,26.837148
254,police hotel,76.995026,9.571341
255,Herzogenrath,6.084806,50.833342
256,Tacaná,-92.08333,15.23333
257,Hotel Ratskeller Gehrden,9.600926,52.312654
258,Warren Hotel,-75.948703,41.537362
259,Warendorf,7.992631,51.95119
260,Murmansk,33.115506,69.016856
261,MSC Hotel Otjiwarongo,16.655631,-20.460127
262,Dehe Hotel Yichun,128.87864,47.72454
263,Seven Hills Hotel,28.979694,41.006379
264,Immokalee,-81.411541,26.426652
265,Harris Hotel,-6.807085,57.898957
266,Raymond Terrace,151.7505,-32.75952
267,"Hotel ""Freiberger Höhe",13.228834,50.791546
268,Bohain-en-Vermandois,3.458796,49.985105
269,Hua Qiao Hotel Zhangzhou,117.6666,24.5166
270,Prosper Hotel,7.484939,6.479853
271,Sosnovka,30.36502,60.014552
272,Nanyangcun,120.68051,27.77923
273,Marystown Hotel & Convention Centre,-55.155416,47.163541
274,Kumanovo,21.71444,42.13222
275,Pisaflores,-99.006409,21.195616
276,Monticello Hotel,-122.940172,46.139583
277,Hotel der Platengarten,10.57729,49.30186
278,Amarilis Jerome Hotel,14.42538,50.07804
279,Nava Hotel,111.122775,-7.663256
280,Borisoglebskiy,39.1508,57.2586
281,Aureilhan,0.125945,43.2316
282,Bom Repouso,-46.145857,-22.473031
283,Niederorschel,10.424107,51.372347
284,Hotel Água Boa,-43.968775,-20.113827
285,Carmagnola,7.720555,44.844625
286,Villeneuve-Loubet,7.120431,43.657712
287,Helmbrechts,11.720502,50.237223
288,Burlington Hotel,-1.150833,50.656812
289,Stadsmuseum Groenlo,6.619313,52.041129
290,Alezio,18.05822,40.06132
291,Verrières-le-Buisson,2.252291,48.749641
292,Hotel Kramer,12.999498,55.606752
293,Hettange-Grande,6.156418,49.402996
294,Ban Phon Yai,104.32275,17.16794
295,Anouvong Stadium,102.608012,17.968351
296,Shawan Hotel Zigong,104.7833,29.4
297,Gyomaendrőd,20.775101,46.929465
298,Dietlikon (Dorf),8.6188,47.41827
299,Zwijndrecht,4.624387,51.814141
300,Darcheh,51.55724,32.61668
301,Elderslie,-4.48598,55.83327
302,Bad Nenndorf,9.376354,52.338977
303,Thermal-Hotel Aulendorf,9.636726,47.956419
304,Brigham City,-112.030693,41.507025
305,Hotel Perchtoldsdorf,16.266488,48.119378
306,New Hope,-93.386946,45.038962
307,Helena-West Helena,-90.612019,34.531723
308,Agudos do Sul,-49.334178,-25.989352
309,Bohumín,18.357456,49.901435
310,Former Marysville Hotel,-66.588949,45.979059
311,Guinayangan,122.454,13.8971
312,Gig Harbor,-122.600968,47.333773
313,Miyanaga,130.58815,33.72877
314,Jinotepe,-86.19903,11.84962
315,Sunrise Hotel,145.229573,14.15472
316,Arayat,120.7697,15.1505
317,Hôtel Saint-André,3.098597,45.778548
318,Sterling-Heights,-83.033617,42.576979
319,Pushkinogorskiy,28.821048,57.013013
320,Hotel der Platengarten,10.57729,49.30186
321,Patio Rizal Hotel,121.555057,14.114381
322,Hotel del Sur,-83.671225,9.339974
323,Hotel Frontenac,-45.566428,-22.72182
324,Divion,2.503061,50.468671
325,Bonsecours,1.124951,49.423546
326,Fehrbellin,12.768695,52.812368
327,Hôtel de Ville de Loison-sous-Lens,2.868282,50.43826
328,Azeffoun,4.420824,36.902395
329,Saddlebrooke,-93.19693,36.823528
330,Ipaumirim,-38.719516,-6.788369
331,Partenit,34.34464,44.578
332,Nandyal,78.483901,15.485679
333,Buritirama,-43.63609,-10.71355
334,Medicina,11.635367,44.475674
335,Vermilion Hotel,-92.683368,47.848822
336,Tumbiscatío,-102.375916,18.525201
337,Apice,14.93167,41.120831
338,Hotel y restaurante La Guayabal,-75.186756,6.05884
339,Clearfield,-78.43919,41.02728
340,Jinxingcun,119.06531,31.81348
341,Partizánske,18.385525,48.629004
342,San Jacinto County,-95.192961,30.529636
343,Sato Hotel,30.76728,36.85069
344,Saguiaran,124.28333,8.03333
345,Destrnik,15.875915,46.492774
346,DoubleTree by Hilton Hotel London Kingston Upon Thames,-0.305443,51.413535
347,Hotel Guatapé,-75.160057,6.234787
348,Gárdony,18.613763,47.195017
349,Ondjiva,15.73333,-17.06667
350,Bellefonte,-77.77833,40.91339
351,Stonewall Jackson Hotel,-79.070602,38.148932
352,Rock Falls,-89.689721,41.773826
353,Pacasmayo,-79.57139,-7.40056
354,Achkhoj-Martanovskiy,45.231244,42.993121
355,Allen Hotel,-122.414512,37.78354
356,São José de Piranhas,-38.499657,-7.125475
357,Mirfield,-1.694565,53.673909
358,Liqizhuang,117.16198,39.06982
359,Skhour Rehamna,-7.915364,32.482523
360,Bestensee,13.640004,52.241647
361,Catanduva,-48.98027,-21.143218
362,Dorogobuzhskiy,33.35392,54.883573
363,Brighton Hotel,-0.154369,50.822635
364,Krasnyy Chikoy,108.745313,50.361336
365,Kayenta,-110.255667,36.709121
366,Former Shepparton Hotel,145.398918,-36.380793
367,Svetogorsk,28.872532,61.111864
368,Aylesford,0.47936,51.30374
369,Lymans Hotel,-6.2594,53.3446
370,HONOLULU Hotel,2.5376,39.5111
371,Famy,121.4482,14.4376
372,Hotel Porton Sabaneta,-75.610541,6.153341
373,Kabugao,121.184,18.02312
374,Rietavas,21.925328,55.727083
375,Bolton upon Dearne,-1.31667,53.51667
376,Hotel+Restaurant Jägerhof Mutterstadt,8.366748,49.421947
377,Werdau,12.371598,50.731597
378,Fiano Romano,12.595417,42.152989
379,Timlilt,-9.11218,31.00995
380,Guabito,-82.61667,9.5
381,Bni Tajjit,-3.46616,32.28928
382,Baena,-4.322362,37.619107
383,Hotel Colonial - Riberalta,-66.073793,-10.997872
384,Hotel Murgia,16.755206,40.779079
385,Xgħajra,14.538678,35.89882
386,Hotel Alsina,-64.800194,-30.728067
387,Gazzo Veronese,11.0769,45.14018
388,Windsbach,10.827435,49.248675
389,Sea Passion Hotel - Malakal,134.45695,7.33909
390,Isernhagen-Süd,9.79871,52.43819
391,Jerseyville,-90.32845,39.12005
392,Hotel Pousada Água Santa Aragarças,-52.004652,-15.881686
393,Duitama,-73.03408,5.8245
394,Tsuno-chō,131.50756,32.27846
395,Hotel Baudilio,124.689377,11.299771
396,North Cornwall Township,-76.45992,40.311608
397,Great Falls,-111.300389,47.501115
398,Nigrán,-8.80656,42.14153
399,Kráľovský Chlmec,21.97944,48.42336
400,Donetsk,37.80224,48.023
401,Hotel Glauchauer Marktrestaurant,12.542369,50.817527
402,Candijay,124.48333,9.83333
403,Kavala Hotel,28.24643,36.77606
404,The Emerald Hotel Gisborne,178.02784,-38.66776
405,Sercotel MIERES DEL CAMINO Hotel,-5.7754,43.25607
406,Lagodekhi,46.27667,41.82681
407,Bagnolet,2.421451,48.868627
408,Aimargues,4.209454,43.684828
409,Hotel Calderon,-73.248724,10.456538
410,Khon Buri Tai,102.242694,14.524809
411,HOTEL TAIKI,143.276783,42.487549
412,Bethel Hotel,29.925304,-3.429212
413,Elva Hotel og Camping,28.193429,70.199407
414,Monte Azul,-42.870781,-15.156153
415,Bilbeis,31.56223,30.42039
416,Dharmavaram,77.71995,14.41494
417,Bogense Hotel,10.090382,55.565258
418,Dutse,9.33921,11.7594
419,Same Hotel,119.406891,-5.13632
420,Denov,67.9,38.26667
421,Ushtobe,77.98007,45.25201
422,Plochingen,9.423625,48.709756
423,Robat Karim,51.0829,35.4846
424,Rutherford Hotel,173.282263,-41.275866
425,Hotel ibis Sorocaba,-47.46319,-23.529871
426,Frankfurt,14.529218,52.345365
427,The Irvine Hotel,-3.05074,53.79478
428,Nazarabad,50.6075,35.9521
429,Willebroek,4.356697,51.058503
430,Pfungstadt,8.604496,49.803484
431,Currumbin Waters,153.47282,-28.15442
432,Samashki,45.295632,43.286865
433,Caapiranga,-61.211408,-3.320006
434,Turbat,63.04399,26.00228
435,Chegdomyn,133.00827,51.12853
436,Cupar,-3.01204,56.31876
437,Luang Namtha,101.40188,20.9486
438,Seymour Hotel,-0.171498,51.516218
439,Watertown Hotel,-122.3177,47.6588
440,Wemding,10.724906,48.872505
441,Casandrino,14.24963,40.92861
442,Isola delle Femmine,13.236085,38.209852
443,Oroquieta,123.8048,8.4859
444,Villa Hayes,-57.52361,-25.09306
445,Oceanport,-74.020079,40.313481
446,VILLA SAN ADRIAN Hotel,-1.93171,42.33344
447,East Brunswick Hotel,144.972127,-37.769886
448,Neubiberg,11.645086,48.075675
449,Las Yayas de Viajama,-70.92753,18.6071
450,Ivanovo,40.983381,57.00785
451,West Donegal Township,-76.63302,40.13343
452,Campiglia,10.613838,43.058818
453,Manaquiri,-60.456456,-3.435991
454,Qinhe,115.58692,31.77418
455,Hotel Hagerhof,12.092273,47.588091
456,Tizi Ouzou,4.04591,36.71182
457,Porto Rafti,24.01667,37.88333
458,Reboucas,-50.595764,-25.663962
459,Sambalpur,83.970782,21.473526
460,Kirton,-0.052927,52.927067
461,S'ALGAR Hotel,4.30235,39.83306
462,Omni Jacksonville Hotel,-81.661834,30.325991
463,Mandirituba,-49.320781,-25.775141
464,Venustiano Carranza,-99.100505,19.42919
465,The Crosby Hotel,-3.055846,53.785277
466,Lijiachawan,104.931,35.4429
467,Armação dos Búzios,-41.963238,-22.782332
468,Lyantonde,31.15722,-0.40306
469,Büttelborn,8.514045,49.901624
470,Gau-Algesheim,8.015709,49.956074
471,Pontianak Hotel Garuda,109.347491,-0.039495
472,Saint Malo Hotel Golf & Cc,-1.83977,48.49266
473,Nazaré do Piauí,-42.676796,-6.97088
474,Samacá,-73.48537,5.49274
475,Eastman,-83.17765,32.19767
476,Bom Sucesso,-44.75452,-21.030426
477,Hotel Pulilan,120.872737,14.896729
478,Gur'yevsk,20.610918,54.774884
479,Avetrana,17.730082,40.348995
480,Louveciennes,2.120073,48.866989
481,DoubleTree by Hilton Hotel LAX - El Segundo,-118.391832,33.919756
482,Pendências,-36.717098,-5.260228
483,Cantley House Hotel,-0.838574,51.420406
484,Montesarchio,14.641511,41.062564
485,Okhtyrka,34.89879,50.31036
486,San Miguel del Puerto,-96.173199,15.920809
487,Whitchurch,-2.68333,52.96667
488,Abersychan Pharmacy,-3.058773,51.723139
489,Horodnytsia,27.313189,50.807823
490,Hotel Azrou,-5.2262,33.433476
491,Al Orjane,-3.72768,33.39797
492,Plottier,-68.23333,-38.96667
493,Hotel City Krško,15.495304,45.957402
494,Measham,-1.517521,52.710003
495,Malloussa,-5.6314,35.73696
496,Yahotyns'kyi,31.87378,50.250986
497,Juan Aldama,-103.395511,24.294878
498,Blythebridge,-0.685732,52.045771
499,Royal Macau Hotel,45.1667,-12.8333
500,Rondon Palace Hotel,-54.652597,-16.471714
501,Plainfield,-74.411909,40.613716
502,Caernarfon,-4.27016,53.14126
503,Volodars'kyi,37.290997,47.269411
504,Nakama,130.7,33.81667
505,Trumpington Hall,0.10597,52.175617
506,Thonon-les-Bains,6.475385,46.363019
507,Porteirinha,-43.031303,-15.751828
508,The Enniskillen Hotel,-7.630972,54.346401
509,Hotel,-71.608652,42.119943
510,Rameswaram,79.315796,9.281043
511,Wabash Township,-86.953947,40.455043
512,Hotel Selbachpark,7.730739,51.632982
513,Hotel Sun City,13.684968,4.584141
514,Collins Hotel,-115.935159,39.025553
515,Cuincy,3.052138,50.381575
516,Hotel Appenzell,9.407425,47.331133
517,Park Hotel Celano,15.660574,41.701226
518,Calpulalpan,-98.56165,19.584609
519,Saidate,-8.82446,31.37297
520,Darjeeling Hotel,85.338144,27.721411
521,Elgin Hotel,-3.054133,53.837249
522,Boké,-14.29665,10.94094
523,Martapura,114.853106,-3.411918
524,Rezvanshahr,48.95,37.53333
525,Curanilahue,-73.358842,-37.469918
526,Schast'ye,39.2323,48.73963
527,Breda di Piave,12.331815,45.721783
528,Hotel Heidenauer Hof,9.651066,53.314407
529,Osrednjeslovenska,14.58583,45.83917
530,Jaroměř,15.918236,50.350127
531,Majma Bin Harisa,46.757575,24.62256
532,Gudingen,13.655483,63.111103
533,Hampton Hotel,-6.242869,53.325807
534,Jamul,-116.843572,32.714167
535,Banning,-116.889975,33.932472
536,Leinfelden-Echterdingen,9.16809,48.69406
537,Butterworth,100.389348,5.447737
538,Kitaotao,125.06667,7.61667
539,Totutla,-96.960601,19.211209
540,Novo-Aneny,29.231743,46.880818
541,Hotel VICARELLO DI VOLTERRA,10.84067,43.46887
542,Kranuan,103.05473,16.56208
543,Hotel Havrania,19.187779,49.302123
544,Haapavesi,25.374015,64.142232
545,Zira‘at ad Diwem,32.2659,15.6198
546,Ouderkerk aan de Amstel,4.912345,52.295031
547,Saubara,-38.764083,-12.735502
548,Jasdan,71.20794,22.03709
549,Mount Vernon Hotel Museum,-73.959713,40.760522
550,Omega Hotel Sindelfingen,9.0097,48.7086
551,The Applewood Hotel,-1.888068,50.717834
552,Geithain,12.691967,51.056936
553,Manama Hotel,72.83083,18.94932
554,Žamberk,16.462981,50.088292
555,Piņķi,23.909683,56.943849
556,Savannakhet,104.75273,16.56504
557,فندق الشعب,49.12764,14.548834
558,Rio Jordan Hotel,35.93138,31.95338
559,Monticelli,9.931168,45.090136
560,La Mulatière,4.811585,45.726729
561,Mabai,104.45081,23.01279
562,Westchase,-95.56723,29.72967
563,Citrus Heights Patong Hotel,98.29578,7.88435
564,’Aïn Roua,5.18333,36.33333
565,Filyro,23.005275,40.690655
566,Moniquirá,-73.57284,5.87638
567,Renchen,8.013725,48.589036
568,Buchanan Hotel,-10.052163,5.877069
569,El Sauzal,-16.44019,28.475892
570,Kanchanadit,99.531747,9.076191
571,Pokhara Hotel and Lodge,84.827262,27.813303
572,Rio Linda,-121.441781,38.687043
573,Cranves-Sales,6.287978,46.18351
574,Xinlizhuang,112.89678,39.30179
575,Red Roof Inn Atlanta Smyrna Hotel,-84.33655,33.83666
576,Dunmore House Hotel,-8.867596,51.590242
577,Hotel Real Izamal,-89.019106,20.942181
578,Saint-Saulve,3.550743,50.371001
579,Lahouarta,-7.79055,32.84881
580,Guxhagen,9.477891,51.198176
581,Contamana,-75.019979,-7.340031
582,Dehiba,10.700008,32.01705
583,Breza Hotel,15.60512,46.15719
584,San José Hotel,-63.940336,-30.356395
585,Hotel Villa Angela Terme,13.86462,40.72533
586,Ylistaro,22.522795,62.941542
587,Torzhok,34.973665,57.048282
588,Hotel Novo Aripuanã,-60.379255,-5.119017
589,Dolinskiy,142.53132,47.415597
590,Aliança do Tocantins,-48.939861,-11.309015
591,Frutal,-48.924974,-20.023909
592,Acatlán de Osorio,-98.046203,18.206326
593,Mendi Hotel,23.425223,39.966722
594,Hôtel de Ville de Salaberry-de-Valleyfield,-74.131554,45.255339
595,Randolph Hotel,-82.63879,27.773777
596,Toguchinskiy,84.429993,55.086572
597,RSU Tanjung Selor,117.380825,2.830468
598,Conceição do Coité,-39.286689,-11.561008
599,Dongsheng Hotel Shenyang,124.05,43.6333
600,Aïn Aïcha,-4.6619,34.39997
601,Jiexiu,111.868286,37.024484
602,Weatherford Hotel,-111.648976,35.198426
603,Lorton,-77.216385,38.696736
604,Grünheide,13.836588,52.432494
605,Station des Essais M.V.A.,-2.4923,34.90654
606,Upper Largo Hotel & Restaurant,-2.929944,56.219668
607,Radisson Hotel New Rochelle,-73.7776,40.9146
608,Waldmünchen,12.708181,49.37801
609,Hotel San Buenaventura,-100.831542,19.904775
610,Maywood,-89.847014,34.962878
611,Hotel Chipiona,-6.43819,36.736269
612,Bad Münder am Deister,9.463482,52.194564
613,Bullas,-1.666639,38.049376
614,Birjand,59.22114,32.86628
615,Cumbernauld,-3.99051,55.94685
616,Winnetka,-118.575431,34.204809
617,Hoschans'kyi,26.654584,50.638984
618,Centre de Flacq,57.71444,-20.18972
619,Damanhur,30.46914,31.03917
620,Shendish Manor Hotel,-0.46992,51.727931
621,Rosolini,14.948546,36.82433
622,Garrel,8.031442,52.956608
623,Chauk,94.81784,20.89921
624,Līgatne,25.043103,57.244684
625,Nikol'skiy,45.932198,53.738259
626,Taxco,-99.60948,18.550559
627,Princeton Hotel,103.65946,1.48237
628,Korgashino,37.75,55.96667
629,Asenovgrad,24.877286,42.01603
630,Monte Do Carmo Hotel,-7.78128,38.70162
631,Farmington Hills,-83.377923,42.498741
632,Vaux-le-Pénil,2.681841,48.528109
633,Rosa Valls Hotel,13.187144,-8.904535
634,Old Saybrook Center,-72.364784,41.291571
635,General Mamerto Natividad,121.0515,15.6025
636,Altepexi,-97.297408,18.370174
637,Silp-Pa Phra Nakhon Si Ayutthaya Hotel,100.574507,14.352248
638,Uruburetama,-39.505352,-3.622501
639,Chambersburg,-77.652582,39.933584
640,Pamiers,1.617485,43.118824
641,Göbel's Hotel Rodenberg,9.733803,51.005059
642,Werneuchen,13.754724,52.62854
643,"Hotel ""Batory",20.486941,49.425533
644,Timilpan,-99.735101,19.875831
645,Calauan,121.30726,14.15127
646,West Carrollton City,-84.253599,39.668842
647,Huntington Park,-118.221191,33.98268
648,Canberra Hotel,-3.052976,53.795119
